bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1760094,2796715,text,74817,application/pdf,Introduced,https://legiscan.com/PA/text/HB1084/id/2796715,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1084&pn=1111
1760094,3006554,text,82542,application/pdf,Amended,https://legiscan.com/PA/text/HB1084/id/3006554,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1084&pn=3216
1760363,2795627,text,86320,application/pdf,Introduced,https://legiscan.com/PA/text/HB1085/id/2795627,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1085&pn=1089
1760556,2797516,text,65033,application/pdf,Introduced,https://legiscan.com/PA/text/HB1086/id/2797516,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1086&pn=1112
1760556,2816198,text,70586,application/pdf,Amended,https://legiscan.com/PA/text/HB1086/id/2816198,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1086&pn=1303
1760576,2797494,text,67797,application/pdf,Introduced,https://legiscan.com/PA/text/HB1087/id/2797494,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1087&pn=1113
1770109,2823622,text,77403,application/pdf,Introduced,https://legiscan.com/PA/text/HB1088/id/2823622,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1088&pn=1448
1760541,2797493,text,76953,application/pdf,Introduced,https://legiscan.com/PA/text/HB1089/id/2797493,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1089&pn=1114
1760564,2797503,text,70580,application/pdf,Introduced,https://legiscan.com/PA/text/HB1090/id/2797503,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1090&pn=1115
1760590,2797501,text,67093,application/pdf,Introduced,https://legiscan.com/PA/text/HB1091/id/2797501,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1091&pn=1134
1760676,2798260,text,71820,application/pdf,Introduced,https://legiscan.com/PA/text/HB1092/id/2798260,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1092&pn=1140
1760676,2826467,text,77526,application/pdf,Amended,https://legiscan.com/PA/text/HB1092/id/2826467,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1092&pn=1536
1760750,2798259,text,65766,application/pdf,Introduced,https://legiscan.com/PA/text/HB1093/id/2798259,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1093&pn=1141
1760706,2798275,text,64228,application/pdf,Introduced,https://legiscan.com/PA/text/HB1094/id/2798275,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1094&pn=1142
1760706,2816492,text,70149,application/pdf,Amended,https://legiscan.com/PA/text/HB1094/id/2816492,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1094&pn=1306
1760804,2798267,text,65687,application/pdf,Introduced,https://legiscan.com/PA/text/HB1095/id/2798267,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1095&pn=1143
1760882,2798261,text,68510,application/pdf,Introduced,https://legiscan.com/PA/text/HB1096/id/2798261,https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=PDF&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=1096&pn=1144
